"Linux x86-64 / Lisp systems";"sbcl";"cmucl";"xcl";"ecl";"clisp";"mkcl";"abcl";"wcl";"gcl";"ccl"
"ubuntu server 10.10";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"Fedora 16";"yes";"no";"no";"yes";"yes";;;;;
"Gentoo LiveDVD 12 multilib";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"Debian 6.0.3";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"Debian 6.0.4";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"Ubuntu 11.04";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
;;;;;;;;;;
;;;;;;;;;;
"Linux x86-64 / REBUILD";"sbcl";"cmucl";"xcl";"ecl";"clisp";"mkcl";"abcl";"wcl";"gcl";"ccl"
"ubuntu server 10.10";"yes";;;;;;;;;
"Fedora 16";;;;;;;;;;
"Gentoo LiveDVD 12 multilib";"no";;;;;;;;;
"Debian 6.0.3";"yes";;;;;;;;;
"Debian 6.0.4";"yes";;;;;;;;;
"Ubuntu 11.04";"yes";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"Linux x86-64 / TOOL";"emacs";"wget";;;;;;;;
"ubuntu server 10.10";"yes";;;;;;;;;
"Fedora 16";"yes";;;;;;;;;
"Gentoo LiveDVD 12 multilib";;"no";;;;;;;;
"Debian 6.0.3";"yes";;;;;;;;;
"Debian 6.0.4";"yes";;;;;;;;"(";
"Ubuntu 11.04";"yes";;;;;;;;;
